Designator,Footprint,Quantity,Value,LCSC Part #,
C1,1206,1,10uF,,
"J1, J2, J3, J4, J5, J6",Screw Terminal,6,Screw_Terminal_01x03,,have 3
"J10, J11, J12, J13, J14, J15, J16, J17, J23, J24, J25",Screw Terminal,11,Screw_Terminal_01x02,,
J18,XT90PB,1,XT90,,have
"J19, J20, J21, J22",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,4 Pin JST-GH,,
"J7, J8",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,,have
J9,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,IRLML6344,,
"R1, R2, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R5, R6, R7, R8, R9",603,25,10k,,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25",603,16,220,,
U1,TSSOP28,1,PCA9685,,
"U2, U3, U4, U5, U6, U7",BlueRoboticsESC,6,~,,have 1 unsused and 6 in current board
