Designator,Mid X,Mid Y,Rotation,Layer
C1,323.0,-135.5,0.0,top
J1,232.25,-205.8,180.0,top
J10,177.925,-130.5,270.0,top
J11,177.925,-150.5,270.0,top
J12,177.925,-140.5,270.0,top
J13,146.0,-160.825,0.0,top
J14,146.0,-147.075,0.0,top
J15,146.0,-133.075,0.0,top
J16,146.0,-118.575,0.0,top
J17,162.5,-160.825,0.0,top
J18,289.028,-142.246,270.0,top
J19,339.25,-202.5,180.0,top
J2,268.75,-205.8,180.0,top
J20,339.25,-181.975,180.0,top
J21,339.25,-171.475,180.0,top
J22,339.25,-192.5,180.0,top
J23,162.5,-147.075,0.0,top
J24,162.5,-133.075,0.0,top
J25,162.5,-118.575,0.0,top
J3,195.75,-205.8,180.0,top
J4,196.17,-75.45,0.0,top
J5,232.67,-75.45,0.0,top
J6,269.17,-75.45,0.0,top
J7,300.5,-163.275,0.0,top
J8,305.5,-163.275,0.0,top
J9,339.425,-164.025,270.0,top
Q1,153.25,-161.6875,270.0,top
Q2,153.25,-147.9375,270.0,top
Q3,153.25,-133.9375,270.0,top
Q4,153.25,-119.4375,270.0,top
Q5,169.75,-161.6875,270.0,top
Q6,169.75,-147.9375,270.0,top
Q7,169.75,-133.9375,270.0,top
Q8,169.75,-119.4375,270.0,top
R1,331.482776,-125.016424,90.0,top
R10,325.0,-155.5,270.0,top
R11,306.5,-134.5,180.0,top
R12,306.5,-137.0,180.0,top
R13,306.5,-139.5,180.0,top
R14,306.5,-142.0,180.0,top
R15,306.5,-144.5,180.0,top
R16,306.5,-147.0,180.0,top
R17,306.5,-149.5,180.0,top
R18,306.5,-152.0,180.0,top
R19,327.5,-155.5,270.0,top
R2,326.482776,-125.016424,90.0,top
R20,319.98,-155.5,270.0,top
R21,317.47,-155.5,270.0,top
R22,314.96,-155.5,270.0,top
R23,312.45,-155.5,270.0,top
R24,309.94,-155.5,270.0,top
R25,322.5,-155.5,270.0,top
R26,153.175,-166.0,0.0,top
R27,145.675,-166.0,0.0,top
R28,145.675,-152.25,0.0,top
R29,153.175,-152.25,0.0,top
R3,321.482776,-125.016424,90.0,top
R30,145.675,-138.25,0.0,top
R31,153.175,-138.25,0.0,top
R32,145.675,-123.75,0.0,top
R33,153.175,-123.75,0.0,top
R34,162.175,-166.0,0.0,top
R35,162.175,-152.25,0.0,top
R36,162.175,-138.25,0.0,top
R37,162.175,-123.75,0.0,top
R38,169.675,-166.0,0.0,top
R39,169.675,-152.25,0.0,top
R4,316.482776,-125.016424,90.0,top
R40,169.675,-138.25,0.0,top
R41,169.675,-123.75,0.0,top
R5,311.482776,-125.016424,90.0,top
R6,306.482776,-125.016424,90.0,top
R7,322.325,-140.0,0.0,top
R8,332.0,-139.5,90.0,top
R9,332.0,-136.175,270.0,top
U1,316.5,-141.0,270.0,top
U2,232.5,-177.25,180.0,top
U3,269.0,-177.25,180.0,top
U4,196.0,-177.25,180.0,top
U5,196.0,-104.0,0.0,top
U6,232.5,-104.0,0.0,top
U7,269.0,-104.0,0.0,top
