Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",194.923750,-111.313750,90.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",213.923750,-108.751250,-90.000000,top
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",201.923750,-111.388750,-90.000000,top
"C4","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",205.423750,-114.813750,180.000000,top
"D1","LED","LED_0805_2012Metric",190.923750,-92.751250,-90.000000,top
"J1","Conn_01x02_Socket","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",163.923750,-104.751250,180.000000,top
"J2","Conn_01x02_Pin","XT90PW-M",141.423750,-75.751250,180.000000,top
"J3","Conn_01x02_Pin","XT90PW-F",257.923750,-75.751250,180.000000,top
"J4","Conn_01x03_Pin","JST_B3B-XH-A",222.500000,-105.000000,0.000000,top
"Q1","IXTA140P05T","TO-263-2",200.963750,-78.101250,90.000000,top
"Q2","BC847","SOT-23",204.973750,-106.251250,0.000000,top
"Q3","BC847","SOT-23",200.423750,-106.251250,180.000000,top
"Q4","BC847","SOT-23",195.923750,-106.251250,0.000000,top
"Q5","BC847","SOT-23",177.248750,-102.882500,90.000000,top
"Q6","BC847","SOT-23",184.111250,-107.395000,90.000000,top
"Q7","BC847","SOT-23",183.498750,-114.282500,0.000000,top
"Q8","BC847","SOT-23",189.336250,-105.507500,-90.000000,top
"Q9","BC847","SOT-23",179.561250,-109.895000,-90.000000,top
"Q10","BC847","SOT-23",169.686250,-109.945000,180.000000,top
"Q11","BC847","SOT-23",174.686250,-109.945000,-90.000000,top
"Q12","BC847","SOT-23",201.923750,-96.688750,90.000000,top
"Q13","BC847","SOT-23",188.437500,-112.950000,0.000000,top
"R1","50k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",195.923750,-96.663750,-90.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",195.923750,-101.663750,-90.000000,top
"R3","116k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.423750,-96.338750,-90.000000,top
"R4","15k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",209.423750,-113.751250,90.000000,top
"R5","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",209.836250,-104.751250,0.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.973750,-111.313750,90.000000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.511250,-98.951250,-90.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.923750,-101.338750,-90.000000,top
"R9","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.973750,-92.213750,90.000000,top
"R10","50k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",257.923750,-91.751250,180.000000,top
"R11","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.498750,-103.445000,90.000000,top
"R12","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",191.423750,-99.751250,0.000000,top
"R13","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",191.423750,-97.251250,0.000000,top
"R14","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",189.423750,-108.945000,0.000000,top
"R15","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",173.748750,-103.032500,-90.000000,top
"R16","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.061250,-102.832500,-90.000000,top
"R17","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",183.836250,-110.945000,0.000000,top
"R18","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.536250,-113.395000,180.000000,top
"R19","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.036250,-106.395000,180.000000,top
"R20","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",173.061250,-106.332500,0.000000,top
"R21","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.561250,-114.445000,90.000000,top
"R22","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",168.498750,-104.945000,-90.000000,top
"R23","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.923750,-114.751250,0.000000,top
"R24","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.423750,-101.663750,-90.000000,top
"R25","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",198.423750,-96.751250,90.000000,top
"R26","2.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.011250,-90.751250,180.000000,top
"R27","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.587500,-114.000000,180.000000,top
"U1","MCP6561-OT","SOT-23-5",210.873750,-108.613750,-90.000000,top
"U2","MCP6561-OT","SOT-23-5",197.973750,-111.176250,90.000000,top
"U3","MCP1799x-330xxTT","SOT-23",205.423750,-111.251250,90.000000,top
