Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uF,
"C3, C4",0603,2,1u,
D1,0805,1,LED,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J2,XT90PW-M,1,Conn_01x02_Pin,
J3,XT90PW-F,1,Conn_01x02_Pin,
Q1,TO-263-2,1,IXTA140P05T,
"Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,11,BC847,
"R1, R10",0603,2,50k,
"R11, R12, R13, R25, R9",0603,5,100k,
"R14, R15, R16, R17, R18, R19, R20, R21, R22, R5, R6, R7, R8",0603,13,1k,
"R2, R23, R24",0603,3,10k,
R26,0603,1,2.2k,
R3,0603,1,116k,
R4,0603,1,15k,
TP1,TestPoint_Pad_D1.5mm,1,GPIO,
"TP2, TP7",TestPoint_Pad_D1.5mm,2,Vout,
TP3,TestPoint_Pad_D1.5mm,1,Vin,
TP4,TestPoint_Pad_D1.5mm,1,U1 Out,
TP5,TestPoint_Pad_D1.5mm,1,U2 Out,
TP6,TestPoint_Pad_D1.5mm,1,Kill,
TP8,TestPoint_Pad_D1.5mm,1,Pmos In,
"U1, U2",SOT-23-5,2,MCP6561-OT,
U3,SOT-23,1,MCP1799x-330xxTT,
