Designator,Mid X,Mid Y,Rotation,Layer
C1,194.92375,-111.31375,90.0,top
C2,213.92375,-108.75125,270.0,top
C3,201.92375,-111.38875,270.0,top
C4,205.42375,-114.81375,180.0,top
D1,190.92375,-92.75125,270.0,top
J1,162.67375,-104.75125,180.0,top
J2,141.02375,-80.92625,180.0,top
J3,257.52375,-80.92625,180.0,top
Q1,200.96375,-78.10125,90.0,top
Q10,169.68625,-109.945,0.0,top
Q11,174.68625,-109.945,90.0,top
Q12,201.92375,-96.68875,270.0,top
Q2,204.97375,-106.25125,180.0,top
Q3,200.42375,-106.25125,0.0,top
Q4,195.92375,-106.25125,180.0,top
Q5,177.24875,-102.8825,270.0,top
Q6,184.11125,-107.395,270.0,top
Q7,183.49875,-114.2825,180.0,top
Q8,189.33625,-105.5075,90.0,top
Q9,179.56125,-109.895,90.0,top
R1,195.92375,-96.66375,270.0,top
R10,257.92375,-91.75125,180.0,top
R11,181.49875,-103.445,90.0,top
R12,191.42375,-99.75125,0.0,top
R13,191.42375,-97.25125,0.0,top
R14,189.42375,-108.945,0.0,top
R15,173.74875,-103.0325,270.0,top
R16,184.06125,-102.8325,270.0,top
R17,183.83625,-110.945,0.0,top
R18,174.53625,-113.395,180.0,top
R19,177.03625,-106.395,180.0,top
R2,195.92375,-101.66375,270.0,top
R20,173.06125,-106.3325,0.0,top
R21,179.56125,-114.445,90.0,top
R22,168.49875,-104.945,270.0,top
R23,200.92375,-114.75125,0.0,top
R24,205.42375,-101.66375,270.0,top
R25,198.42375,-96.75125,90.0,top
R26,194.01125,-90.75125,180.0,top
R3,205.42375,-96.33875,270.0,top
R4,209.42375,-113.75125,90.0,top
R5,209.83625,-104.75125,0.0,top
R6,192.97375,-111.31375,90.0,top
R7,188.51125,-98.95125,270.0,top
R8,200.92375,-101.33875,270.0,top
R9,200.97375,-92.21375,90.0,top
U1,210.87375,-108.61375,90.0,top
U2,197.97375,-111.17625,270.0,top
U3,205.42375,-111.25125,270.0,top
